Название;Цена;Описание;Ссылка на самолетик;Ссылка на картинку
Радиоуправляемый самолет Feilun P47 Thunderbolt EPO TS866B;4480 ₽;Модель истребителя P47 Thunderbolt. Корпус из EPO, бесколлекторный мотор, 6-осевой гироскоп. Полет 5-8 минут. Простое управление, 4 канала.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-feilun-p47-thunderbolt-epo-ts866b/;https://copterdrone.ru/copter/res/image/uploads/store/product/596474a50fce793502246dd756d0be95.jpg
Радиоуправляемый самолет Fei Xiong Veyron J-20 RTF 2.4G - FX930;4680 ₽;Радиоуправляемый истребитель с хорошей детализацией. Оснащен двухканальным приемником. Дальность управления - 100 метров. Время игры может достигать 15 минут. Аккумулятор на 300 мАч. Цвет серый;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyy-samolet-fei-xiong-veyron-j-20-rtf-24g-fx930/;https://copterdrone.ru/copter/res/image/uploads/store/product/83cd826fae6e8a40d25081eb4585296c.jpg
Радиоуправляемый самолет истребитель WL Toys F16 RTF 2.4G - A290;4690 ₽;Самолет, дизайн которого разработан по образцу истребителя F-16. Идеальный вариант для новичков. Модель ударопрочная, встроенная система стабилизации полета, легкое управление, 2 режима.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-istrebitel-wl-toys-f16-rtf-24g-a290/;https://copterdrone.ru/copter/res/image/uploads/store/product/292d7aaae867e8eda21cea3f801760bd.jpg
Самолет HobbyZone Duet RTF;4890 ₽;Эксклюзивная система стабилизации HobbyZone ®, установленная на эту модель, поможет вам уверенно контролировать самолет во время полета.;https://copterdrone.ru/catalog/rc_planes/samolet-hobbyzone-duet-rtf/;https://copterdrone.ru/copter/res/image/uploads/store/product/5a8373733abfee87e3375ab00200e9ce.jpg
Радиоуправляемый самолет WLToys F949 Cessna;4980 ₽;Малогабаритная модель, двухлопастой винт. Хорошо подходит для начинающих пилотов. RTF - готов к полету. Размах крыла 50 см. Аккумулятор LiPo 3.7V 500 mah;https://copterdrone.ru/catalog/rc_planes/wltoys_f949_cessna/;https://copterdrone.ru/copter/res/image/uploads/store/product/4014023579d7c5287d83bbfed2f99a8b.jpg
Радиоуправляемый самолет WL Toys F949S Cessna 182 - WLT-F949S;4980 ₽;Одномоторная Цессна 182, которая способна летать до 25 минут. Обладает 6-осевым гироскопом. Полностью готовый к полетам. Литий-полимерный аккумулятор с емкостью 500 mAh.;https://copterdrone.ru/catalog/rc_planes/wltoys-fly/radioupravlyaemyy-samolet-wl-toys-f949s-cessna-182-wlt-f949s/;https://copterdrone.ru/copter/res/image/uploads/store/product/bb1c4091ae5b719155b5b445483a9bbe.jpg
Радиоуправляемый самолет EasySky Piper J3 Cub White Edition;4990 ₽;Малогабаритная модель с нетрудным управлением - идеальное решение для начинающих пилотов;https://copterdrone.ru/catalog/rc_planes/easysky_piper_j3_cub_white_edition/;https://copterdrone.ru/copter/res/images/easysky_piper_j3_cub_white_edition_1.jpg
Радиоуправляемый самолет HobbyZone Duet HBZ5300;4990 ₽;Тренер для начинающих пилотов, технология Virtual Instructor™. Компактные размеры, коллекторный мотор, система стабилизации. Скорость до 20 км/ч, полет до 10 минут без подзарядки.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-hobbyzone-duet-hbz5300/;https://copterdrone.ru/copter/res/image/uploads/store/product/2d6a35bda5d39380acff53649d435322.jpg
Радиоуправляемый самолет WLtoys A150 RTF 2.4G - A150;4999 ₽;Cамолет с фиксированным крылом, который разработан точно на основе знаменитого гигантского giantairbus B747! В режиме big rudder самолет может даже сделать 360 ° флип трюк.;https://copterdrone.ru/catalog/rc_planes/wltoys-fly/radioupravlyaemyy-samolet-wltoys-a150-rtf-24g-a150/;https://copterdrone.ru/copter/res/image/uploads/store/product/d318534ef4a4e7885022e021285fff0f.jpg
Радиоуправляемый самолет XK Innovation Q VERSION F4U PIRATE RTF 2.4G - A500;5270 ₽;"Самолет от XK Innovation, легкий в управлении.&nbsp;Время работы составляет до 12 минут. Модель подойдет и для новичков, и для любителей выполнять трюки. Встроенный шестиосевой гироскоп, запоминающийся мультяшный внешний вид, отличные характеристики. Цвет - синий.";https://copterdrone.ru/catalog/rc_planes/xk-innovation-fly/radioupravlyaemyy-samolet-xk-innovation-q-version-f4u-pirate-rtf-24g-a500/;https://copterdrone.ru/copter/res/image/uploads/store/product/0f9b311add186b93bed82a2bb5cd1363.jpg
Радиоуправляемый самолет Feilun Horizon Legerity HF-X1 EPP RTF;5390 ₽;Оборудован освещением. Ударостойкий. Полетное время 20-30 минут. RTF - готов к полету. Размах крыла 60 см. Аккумулятор LiPo 3.7V 1000mAh;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-feilun-horizon-legerity-hf-x1-epp-rtf/;https://copterdrone.ru/copter/res/image/uploads/store/product/29c40d02d9a1c326bdfd4c713f2de1c6.jpg
Радиоуправляемый самолет WLToys XK Cessna-182 X420;5420 ₽;Вертикальный взлет и посадка. Дальность 200 м. Время полета 8-10 минут. Воздушные трюки. Прочный и легкий корпус с ярким дизайном.;https://copterdrone.ru/catalog/rc_planes/wltoys-fly/radioupravlyaemyy-samolet-wltoys-xk-cessna-182-x420/;https://copterdrone.ru/copter/res/image/uploads/store/product/c5b2e90331440d8a0edeba3842b742b9.jpg
Радиоуправляемый самолет Volantex RC Ranger 400мм RTF 2.4G - EXA76106R;5681 ₽;"Модель для начинающих авиалюбителей, выполненная из ударопрочного EPP материала. Благодаря трём режимам, которые можно переключить прямо на аппаратуре любой пользователь сможет подобрать лётные возможности под себя. Имеет систему стабилизации&nbsp;XPILOT.";https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyy-samolet-volantex-rc-ranger-400mm-rtf-24g-exa76106r/;https://copterdrone.ru/copter/res/image/uploads/store/product/0c853e45a5d58427b9f3e1e79cb6d9a8.jpg
Радиоуправляемый самолет ZHIYANG TOYS Миг-29;5890 ₽;Детализированная копия известного отечественного самолета МИГ-29. Оснащен двумя мощными электродвигателями.;https://copterdrone.ru/catalog/rc_planes/zhiyang_toys_mig_29/;https://copterdrone.ru/copter/res/images/zhiyang_toys_mig_29_1.jpg
Радиоуправляемый самолет XK Innovation BF-109 RTF 2.4G - A250;5960 ₽;"Самолет от XK Innovation, легкий в управлении.&nbsp;Время работы составляет до 12 минут. Модель подойдет и для новичков, и для любителей выполнять трюки. Встроенный шестиосевой гироскоп, запоминающийся внешний вид, отличные характеристики. Цвет - серый с золотым, есть декали.";https://copterdrone.ru/catalog/rc_planes/xk-innovation-fly/radioupravlyaemyy-samolet-xk-innovation-bf-109-rtf-24g-a250/;https://copterdrone.ru/copter/res/image/uploads/store/product/4e53a77b4190c9e409ea679f4cf2ddb1.jpg
Радиоуправляемый самолет истребитель XK Innovation F8F RTF 2.4G - A260;5960 ₽;Копия истребителя F7F от XK Innovation. Есть шестиосевой гироскоп, помогающий новичкам освоиться в управлении. При желании можно научиться выполнять сальто, кувыркаться в стороны и летать вверх ногами с помощью пульта ДУ. Время работы составляет до 10 минут. Цвет - бело-золотой.;https://copterdrone.ru/catalog/rc_planes/xk-innovation-fly/radioupravlyaemyy-samolet-istrebitel-xk-innovation-f8f-rtf-24g-a260/;https://copterdrone.ru/copter/res/image/uploads/store/product/b1c6f1d398c0ca5a8333427eb2643910.jpg
